"count","entity_id","time_stamp","entity_url_x","experiment_id","entity_category","entity_set","Baseline","Boring_Combined","Boring_Dem","Boring_Diff","Boring_Rep","Familiar_Combined","Familiar_Dem","Familiar_Diff","Familiar_Rep","Importance_Combined","Importance_Dem","Importance_Diff","Importance_Rep","Likelihood_Combined","Likelihood_Dem","Likelihood_Diff","Likelihood_Rep","Partisanship_Combined","Partisanship_Dem","Partisanship_Diff","Partisanship_Rep","PosViewed_Baseline","PosViewed_Combined","PosViewed_Dem","PosViewed_Diff","PosViewed_Rep","Positive_Combined","Positive_Combined.1","Positive_Dem","Positive_Dem.1","Positive_Diff","Positive_Diff.1","Positive_Rep","Positive_Rep.1","Sensational_Combined","Sensational_Dem","Sensational_Diff","Sensational_Rep","Sharing_Combined","Sharing_Dem","Sharing_Diff","Sharing_Rep"
"1","o9n_0I9jN","1640212918307","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Giuliani_mypillow_pitchman.png","solarflare","news","oct9_news","0.41","3.85","4.09","0.48","3.61","2.4","2.53","0.26","2.27","3.05","3.05","0.0","3.05","3.145","3.58","0.87","2.71","3.09","2.81","-0.56","3.37","-0.16","3.84","4.0","0.32","3.68","2.425","2.64","2.46","2.74","0.07","0.2","2.39","2.54","3.86","3.74","-0.24","3.98","2.64","2.77","0.26","2.51"
"1","o9n_1NzgH","1640212926561","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Sinema%20earns%20republican%20respect.png","solarflare","news","oct9_news","0.535","2.965","3.19","0.45","2.74","2.665","2.86","0.39","2.47","3.835","3.67","-0.33","4.0","4.035","4.28","0.49","3.79","4.035","3.67","-0.73","4.4","-0.03","3.97","3.89","-0.16","4.05","3.05","2.93","2.77","3.19","-0.56","0.52","3.33","2.67","3.075","2.94","-0.27","3.21","3.04","3.22","0.36","2.86"
"1","o9n_1Y8XL","1640212924197","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_democrats%20accused%20of%20prioritizing%20social%20spending.png","solarflare","news","oct9_news","0.475","2.99","3.3","0.62","2.68","2.785","2.74","-0.09","2.83","4.075","3.93","-0.29","4.22","3.78","3.61","-0.34","3.95","3.975","3.54","-0.87","4.41","-0.155","3.845","3.89","0.09","3.8","2.485","3.23","2.65","2.93","0.33","-0.6","2.32","3.53","3.1","3.61","1.02","2.59","3.09","2.96","-0.26","3.22"
"1","o9n_4gFZL","1640212917269","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_cloverchronicle-gates-vaccine-kill.png","solarflare","news","oct9_news","0.24","2.985","2.89","-0.19","3.08","2.53","2.68","0.3","2.38","4.53","4.57","0.08","4.49","3.055","3.0","-0.11","3.11","3.74","3.72","-0.04","3.76","-0.34","3.66","3.62","-0.08","3.7","2.45","3.725","2.47","3.4","0.04","-0.65","2.43","4.05","3.85","4.13","0.56","3.57","2.86","2.83","-0.06","2.89"
"1","o9n_4kRWW","1640212917691","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_DOJ%20to%20investigate%20people%20chanting%20F%20Biden.png","solarflare","news","oct9_news","0.56","3.17","3.4","0.46","2.94","2.345","2.63","0.57","2.06","3.665","3.9","0.47","3.43","3.45","3.63","0.36","3.27","2.94","2.92","-0.04","2.96","-0.255","3.745","4.02","0.55","3.47","2.63","3.175","3.02","3.35","0.78","0.35","2.24","3.0","3.405","3.48","0.15","3.33","2.765","2.92","0.31","2.61"
"1","o9n_6voDO","1640212920110","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Portland%20bans%20public%20urinals.png","solarflare","news","oct9_news","0.215","3.54","3.37","-0.34","3.71","2.245","2.31","0.13","2.18","3.275","3.48","0.41","3.07","3.01","2.91","-0.2","3.11","3.285","3.41","0.25","3.16","-0.6","3.4","3.69","0.58","3.11","2.26","2.805","2.5","2.59","0.48","-0.43","2.02","3.02","3.545","3.56","0.03","3.53","2.47","2.5","0.06","2.44"
"1","o9n_7omln","1640212925402","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_migrant%20caravan%20headed%20to%20US%20border.png","solarflare","news","oct9_news","0.115","2.86","2.93","0.14","2.79","3.35","3.24","-0.22","3.46","4.575","4.38","-0.39","4.77","4.095","3.69","-0.81","4.5","3.385","3.6","0.43","3.17","-0.16","3.84","3.76","-0.16","3.92","2.4","3.9","2.4","3.78","0.0","-0.24","2.4","4.02","3.23","3.67","0.88","2.79","3.285","3.07","-0.43","3.5"
"1","o9n_97j4e","1640212920960","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_the%20definitve%20case%20proving%20trump%20won%20the%20election.jpg","solarflare","news","oct9_news","1.285","3.085","4.07","1.97","2.1","3.1","3.53","0.86","2.67","4.605","4.27","-0.67","4.94","3.135","2.64","-0.99","3.63","4.785","4.42","-0.73","5.15","-0.175","3.825","3.36","-0.93","4.29","3.17","3.205","2.65","4.04","-1.04","1.67","3.69","2.37","4.09","4.58","0.98","3.6","3.125","2.73","-0.79","3.52"
"1","o9n_abZKl","1640212918488","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_how%20a%20philly%20mob%20boss%20stole%20the%20election.jpg","solarflare","news","oct9_news","0.69","3.13","3.62","0.98","2.64","2.4","2.76","0.72","2.04","4.405","4.03","-0.75","4.78","3.25","2.92","-0.66","3.58","4.19","3.94","-0.5","4.44","0.055","4.055","3.67","-0.77","4.44","2.625","3.135","2.57","3.19","-0.11","0.11","2.68","3.08","3.67","4.1","0.86","3.24","3.0","2.94","-0.12","3.06"
"1","o9n_CspIB","1640212918785","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Kamala%20military%20are%20cowards.png","solarflare","news","oct9_news","0.53","2.9","3.27","0.74","2.53","2.22","2.12","-0.2","2.32","4.425","4.46","0.07","4.39","2.645","2.2","-0.89","3.09","4.03","4.38","0.7","3.68","-0.725","3.275","3.18","-0.19","3.37","2.07","4.015","1.88","3.7","-0.38","-0.63","2.26","4.33","4.18","4.64","0.92","3.72","2.82","2.34","-0.96","3.3"
