"time_stamp","entity_id","entity_url_x","experiment_id","entity_category","entity_set","Baseline","Boring_Combined","Boring_Dem","Boring_Diff","Boring_Rep","Familiar_Combined","Familiar_Dem","Familiar_Diff","Familiar_Rep","Importance_Combined","Importance_Dem","Importance_Diff","Importance_Rep","Likelihood_Combined","Likelihood_Dem","Likelihood_Diff","Likelihood_Rep","Partisanship_Combined","Partisanship_Dem","Partisanship_Diff","Partisanship_Rep","PosViewed_Baseline","PosViewed_Combined","PosViewed_Dem","PosViewed_Diff","PosViewed_Rep","Positive_Combined","Positive_Combined.1","Positive_Dem","Positive_Dem.1","Positive_Diff","Positive_Diff.1","Positive_Rep","Positive_Rep.1","Sensational_Combined","Sensational_Dem","Sensational_Diff","Sensational_Rep","Sharing_Combined","Sharing_Dem","Sharing_Diff","Sharing_Rep"
"1640212917751","o9n_TQqop","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_dominion%20software%20deleted%20over%202%20million%20votes.jpg","solarflare","news","oct9_news","0.31","3.1","3.32","0.44","2.88","2.2","2.28","0.16","2.12","4.365","4.28","-0.17","4.45","3.485","3.21","-0.55","3.76","3.81","3.34","-0.94","4.28","-0.345","3.655","3.55","-0.21","3.76","2.575","3.595","2.51","3.6","-0.13","0.01","2.64","3.59","3.47","3.72","0.5","3.22","3.025","2.89","-0.27","3.16"
"1640212917816","o9n_5OuMZ","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_euthanize%20senior%20citizens.png","solarflare","news","oct9_news","0.385","2.97","3.18","0.42","2.76","2.44","2.74","0.6","2.14","4.755","4.71","-0.09","4.8","2.895","3.03","0.27","2.76","3.885","3.61","-0.55","4.16","-0.29","3.71","3.82","0.22","3.6","2.62","3.91","2.96","3.74","0.68","-0.34","2.28","4.08","4.265","4.33","0.13","4.2","3.175","3.13","-0.09","3.22"
"1640212917881","o9n_Lcqd8","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_eutimes-uk-pathologist-warns-spike.png","solarflare","news","oct9_news","0.115","3.24","3.21","-0.06","3.27","2.5","2.51","0.02","2.49","3.905","3.74","-0.33","4.07","2.83","2.98","0.3","2.68","3.385","3.53","0.29","3.24","-0.48","3.52","3.77","0.5","3.27","2.34","2.985","2.63","2.75","0.58","-0.47","2.05","3.22","4.14","3.79","-0.7","4.49","2.855","2.86","0.01","2.85"
"1640212916172","o9n_GPvag","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_21%20thousand%20dead%20people%20registered%20on%20pennsylvania%20voter%20rolls.jpg","solarflare","news","oct9_news","0.41","2.595","2.87","0.55","2.32","3.075","3.15","0.15","3.0","4.485","4.11","-0.75","4.86","3.975","3.21","-1.53","4.74","3.91","3.46","-0.9","4.36","-0.18","3.82","3.84","0.04","3.8","2.385","3.79","2.67","3.52","0.57","-0.54","2.1","4.06","3.365","3.89","1.05","2.84","3.09","3.16","0.14","3.02"
"1640212916233","o9n_Jsu5d","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_21cir-pentagon-study-flu-shot.jpeg","solarflare","news","oct9_news","0.58","2.795","3.04","0.49","2.55","2.4","2.37","-0.06","2.43","4.48","4.57","0.18","4.39","2.775","2.53","-0.49","3.02","4.08","3.94","-0.28","4.22","-0.44","3.56","3.53","-0.06","3.59","2.15","3.35","2.2","3.27","0.1","-0.16","2.1","3.43","3.765","3.94","0.35","3.59","2.775","2.82","0.09","2.73"
"1640212916292","o9n_HEURp","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Alex%20Jones%20stops%20illegal%20smuggling%20of%20kids.png","solarflare","news","oct9_news","0.085","3.04","3.41","0.74","2.67","2.22","2.41","0.38","2.03","4.055","4.05","-0.01","4.06","3.53","3.2","-0.66","3.86","3.585","3.36","-0.45","3.81","-0.205","3.795","3.73","-0.13","3.86","2.815","3.29","2.91","3.52","0.19","0.46","2.72","3.06","3.715","4.18","0.93","3.25","2.78","2.75","-0.06","2.81"
"1640212916352","o9n_M7by4","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_aoc%209-11%20not%20a%20big%20deal.jpg","solarflare","news","oct9_news","0.385","2.89","3.12","0.46","2.66","2.29","2.09","-0.4","2.49","4.375","4.12","-0.51","4.63","3.36","2.7","-1.32","4.02","3.885","3.6","-0.57","4.17","-0.695","3.305","3.07","-0.47","3.54","2.105","4.065","2.26","3.91","0.31","-0.31","1.95","4.22","3.76","4.3","1.08","3.22","2.735","2.74","0.01","2.73"
"1640212916412","o9n_DHWwd","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_are%20you%20on%20trumps%20kill%20list%20stickers%20on%20mailbox.jpg","solarflare","news","oct9_news","0.42","3.265","3.22","-0.09","3.31","2.18","2.58","0.8","1.78","3.78","3.91","0.26","3.65","2.345","2.67","0.65","2.02","3.08","3.18","0.2","2.98","-0.57","3.43","3.76","0.66","3.1","2.035","3.19","2.44","3.62","0.81","0.86","1.63","2.76","4.255","4.22","-0.07","4.29","2.52","2.84","0.64","2.2"
"1640212916474","o9n_eKXd5","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_australia%20forcefully%20vaccinating%2024k%20kids.png","solarflare","news","oct9_news","0.055","2.695","2.68","-0.03","2.71","2.565","2.61","0.09","2.52","4.26","4.17","-0.18","4.35","3.13","2.93","-0.4","3.33","3.555","3.44","-0.23","3.67","-0.385","3.615","3.73","0.23","3.5","2.445","3.665","2.68","3.37","0.47","-0.59","2.21","3.96","3.64","3.95","0.62","3.33","3.36","3.32","-0.08","3.4"
"1640212916534","o9n_1HMn3","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_ballots%20shredded%20in%20Maricopa%20county.png","solarflare","news","oct9_news","0.02","2.81","2.95","0.28","2.67","2.94","3.28","0.68","2.6","4.235","4.47","0.47","4.0","3.775","3.71","-0.13","3.84","3.48","3.24","-0.48","3.72","-0.315","3.685","3.9","0.43","3.47","2.72","3.285","2.84","3.64","0.24","0.71","2.6","2.93","3.465","3.91","0.89","3.02","3.04","3.29","0.5","2.79"
